## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
02 0004000000040000 --  0    0e    00
02 0004000000040000 --  0    2e    00
04 0004000400040004 --  0    0e    20
04 0004000400040004 --  0    1e    20
04 0004000400040004 --  0    2e    20
04 0004000400040004 --  0    3e    20
01 0006000000000000 --  1    0f    01
02 0006000000060000 --  0    0f    01
02 0006000000060000 --  0    2f    01
04 0006000600060006 --  0    0f    21
04 0006000600060006 --  0    1f    21
04 0006000600060006 --  0    2f    21
04 0006000600060006 --  0    3f    21
01 0007000000000000 --  1    10    02
02 0007000000070000 --  0    10    02
02 0007000000070000 --  0    30    02
04 0007000700070007 --  0    00    22
04 0007000700070007 --  0    10    22
04 0007000700070007 --  0    20    22
04 0007000700070007 --  0    30    22
01 0007800000000000 --  1    11    03
02 0007800000078000 --  0    11    03
02 0007800000078000 --  0    31    03
01 0007c00000000000 --  1    12    04
02 0007c0000007c000 --  0    12    04
02 0007c0000007c000 --  0    32    04
01 0007e00000000000 --  1    13    05
02 0007e0000007e000 --  0    13    05
02 0007e0000007e000 --  0    33    05
01 0007f00000000000 --  1    14    06
02 0007f0000007f000 --  0    14    06
02 0007f0000007f000 --  0    34    06
01 0007f80000000000 --  1    15    07
02 0007f8000007f800 --  0    15    07
02 0007f8000007f800 --  0    35    07
01 0007fc0000000000 --  1    16    08
02 0007fc000007fc00 --  0    16    08
02 0007fc000007fc00 --  0    36    08
01 0007fe0000000000 --  1    17    09
02 0007fe000007fe00 --  0    17    09
02 0007fe000007fe00 --  0    37    09
01 0007ff0000000000 --  1    18    0a
02 0007ff000007ff00 --  0    18    0a
02 0007ff000007ff00 --  0    38    0a
01 0007ff8000000000 --  1    19    0b
02 0007ff800007ff80 --  0    19    0b
02 0007ff800007ff80 --  0    39    0b
01 0007ffc000000000 --  1    1a    0c
02 0007ffc00007ffc0 --  0    1a    0c
02 0007ffc00007ffc0 --  0    3a    0c
01 0007ffe000000000 --  1    1b    0d
02 0007ffe00007ffe0 --  0    1b    0d
02 0007ffe00007ffe0 --  0    3b    0d
01 0007fff000000000 --  1    1c    0e
02 0007fff00007fff0 --  0    1c    0e
02 0007fff00007fff0 --  0    3c    0e
01 0007fff800000000 --  1    1d    0f
02 0007fff80007fff8 --  0    1d    0f
02 0007fff80007fff8 --  0    3d    0f
01 0007fffc00000000 --  1    1e    10
02 0007fffc0007fffc --  0    1e    10
02 0007fffc0007fffc --  0    3e    10
01 0007fffe00000000 --  1    1f    11
02 0007fffe0007fffe --  0    1f    11
02 0007fffe0007fffe --  0    3f    11
01 0007ffff00000000 --  1    20    12
02 0007ffff0007ffff --  0    00    12
02 0007ffff0007ffff --  0    20    12
01 0007ffff80000000 --  1    21    13
01 0007ffffc0000000 --  1    22    14
01 0007ffffe0000000 --  1    23    15
01 0007fffff0000000 --  1    24    16
01 0007fffff8000000 --  1    25    17
01 0007fffffc000000 --  1    26    18
01 0007fffffe000000 --  1    27    19
01 0007ffffff000000 --  1    28    1a
01 0007ffffff800000 --  1    29    1b
01 0007ffffffc00000 --  1    2a    1c
01 0007ffffffe00000 --  1    2b    1d
01 0007fffffff00000 --  1    2c    1e
01 0007fffffff80000 --  1    2d    1f
01 0007fffffffc0000 --  1    2e    20
01 0007fffffffe0000 --  1    2f    21
01 0007ffffffff0000 --  1    30    22
01 0007ffffffff8000 --  1    31    23
01 0007ffffffffc000 --  1    32    24
01 0007ffffffffe000 --  1    33    25
01 0007fffffffff000 --  1    34    26
01 0007fffffffff800 --  1    35    27
01 0007fffffffffc00 --  1    36    28
01 0007fffffffffe00 --  1    37    29
01 0007ffffffffff00 --  1    38    2a
01 0007ffffffffff80 --  1    39    2b
01 0007ffffffffffc0 --  1    3a    2c
01 0007ffffffffffe0 --  1    3b    2d
01 0007fffffffffff0 --  1    3c    2e
01 0007fffffffffff8 --  1    3d    2f
01 0007fffffffffffc --  1    3e    30
01 0007fffffffffffe --  1    3f    31
01 0007ffffffffffff --  1    00    32
01 0008000000000000 --  1    0d    00
02 0008000000080000 --  0    0d    00
02 0008000000080000 --  0    2d    00
04 0008000800080008 --  0    0d    20
04 0008000800080008 --  0    1d    20
04 0008000800080008 --  0    2d    20
04 0008000800080008 --  0    3d    20
01 000c000000000000 --  1    0e    01
02 000c0000000c0000 --  0    0e    01
02 000c0000000c0000 --  0    2e    01
04 000c000c000c000c --  0    0e    21
04 000c000c000c000c --  0    1e    21
04 000c000c000c000c --  0    2e    21
04 000c000c000c000c --  0    3e    21
01 000e000000000000 --  1    0f    02
02 000e0000000e0000 --  0    0f    02
02 000e0000000e0000 --  0    2f    02
04 000e000e000e000e --  0    0f    22
04 000e000e000e000e --  0    1f    22
04 000e000e000e000e --  0    2f    22
04 000e000e000e000e --  0    3f    22
01 000f000000000000 --  1    10    03
02 000f0000000f0000 --  0    10    03
02 000f0000000f0000 --  0    30    03
04 000f000f000f000f --  0    00    23
04 000f000f000f000f --  0    10    23
04 000f000f000f000f --  0    20    23
04 000f000f000f000f --  0    30    23
01 000f800000000000 --  1    11    04
02 000f8000000f8000 --  0    11    04
02 000f8000000f8000 --  0    31    04
01 000fc00000000000 --  1    12    05
02 000fc000000fc000 --  0    12    05
02 000fc000000fc000 --  0    32    05
01 000fe00000000000 --  1    13    06
02 000fe000000fe000 --  0    13    06
02 000fe000000fe000 --  0    33    06
01 000ff00000000000 --  1    14    07
02 000ff000000ff000 --  0    14    07
02 000ff000000ff000 --  0    34    07
01 000ff80000000000 --  1    15    08
02 000ff800000ff800 --  0    15    08
02 000ff800000ff800 --  0    35    08
01 000ffc0000000000 --  1    16    09
02 000ffc00000ffc00 --  0    16    09
02 000ffc00000ffc00 --  0    36    09
01 000ffe0000000000 --  1    17    0a
02 000ffe00000ffe00 --  0    17    0a
02 000ffe00000ffe00 --  0    37    0a
01 000fff0000000000 --  1    18    0b
02 000fff00000fff00 --  0    18    0b
02 000fff00000fff00 --  0    38    0b
01 000fff8000000000 --  1    19    0c
02 000fff80000fff80 --  0    19    0c
02 000fff80000fff80 --  0    39    0c
01 000fffc000000000 --  1    1a    0d
02 000fffc0000fffc0 --  0    1a    0d
02 000fffc0000fffc0 --  0    3a    0d
01 000fffe000000000 --  1    1b    0e
02 000fffe0000fffe0 --  0    1b    0e
02 000fffe0000fffe0 --  0    3b    0e
01 000ffff000000000 --  1    1c    0f
02 000ffff0000ffff0 --  0    1c    0f
02 000ffff0000ffff0 --  0    3c    0f
01 000ffff800000000 --  1    1d    10
02 000ffff8000ffff8 --  0    1d    10
02 000ffff8000ffff8 --  0    3d    10
01 000ffffc00000000 --  1    1e    11
02 000ffffc000ffffc --  0    1e    11
02 000ffffc000ffffc --  0    3e    11
01 000ffffe00000000 --  1    1f    12
02 000ffffe000ffffe --  0    1f    12
02 000ffffe000ffffe --  0    3f    12
01 000fffff00000000 --  1    20    13
02 000fffff000fffff --  0    00    13
02 000fffff000fffff --  0    20    13
01 000fffff80000000 --  1    21    14
01 000fffffc0000000 --  1    22    15
01 000fffffe0000000 --  1    23    16
01 000ffffff0000000 --  1    24    17
01 000ffffff8000000 --  1    25    18
01 000ffffffc000000 --  1    26    19
01 000ffffffe000000 --  1    27    1a
01 000fffffff000000 --  1    28    1b
01 000fffffff800000 --  1    29    1c
01 000fffffffc00000 --  1    2a    1d
01 000fffffffe00000 --  1    2b    1e
01 000ffffffff00000 --  1    2c    1f
01 000ffffffff80000 --  1    2d    20
01 000ffffffffc0000 --  1    2e    21
01 000ffffffffe0000 --  1    2f    22
01 000fffffffff0000 --  1    30    23
01 000fffffffff8000 --  1    31    24
01 000fffffffffc000 --  1    32    25
01 000fffffffffe000 --  1    33    26
01 000ffffffffff000 --  1    34    27
01 000ffffffffff800 --  1    35    28
01 000ffffffffffc00 --  1    36    29
01 000ffffffffffe00 --  1    37    2a
01 000fffffffffff00 --  1    38    2b
01 000fffffffffff80 --  1    39    2c
01 000fffffffffffc0 --  1    3a    2d
01 000fffffffffffe0 --  1    3b    2e
01 000ffffffffffff0 --  1    3c    2f
01 000ffffffffffff8 --  1    3d    30
01 000ffffffffffffc --  1    3e    31
01 000ffffffffffffe --  1    3f    32
01 000fffffffffffff --  1    00    33
01 0010000000000000 --  1    0c    00
02 0010000000100000 --  0    0c    00
02 0010000000100000 --  0    2c    00
04 0010001000100010 --  0    0c    20
04 0010001000100010 --  0    1c    20
04 0010001000100010 --  0    2c    20
04 0010001000100010 --  0    3c    20
01 0018000000000000 --  1    0d    01
02 0018000000180000 --  0    0d    01
02 0018000000180000 --  0    2d    01
04 0018001800180018 --  0    0d    21
04 0018001800180018 --  0    1d    21
04 0018001800180018 --  0    2d    21
04 0018001800180018 --  0    3d    21
01 001c000000000000 --  1    0e    02
02 001c0000001c0000 --  0    0e    02
02 001c0000001c0000 --  0    2e    02
04 001c001c001c001c --  0    0e    22
04 001c001c001c001c --  0    1e    22
04 001c001c001c001c --  0    2e    22
04 001c001c001c001c --  0    3e    22
01 001e000000000000 --  1    0f    03
02 001e0000001e0000 --  0    0f    03
02 001e0000001e0000 --  0    2f    03
04 001e001e001e001e --  0    0f    23
04 001e001e001e001e --  0    1f    23
04 001e001e001e001e --  0    2f    23
04 001e001e001e001e --  0    3f    23
01 001f000000000000 --  1    10    04
02 001f0000001f0000 --  0    10    04
02 001f0000001f0000 --  0    30    04
04 001f001f001f001f --  0    00    24
04 001f001f001f001f --  0    10    24
04 001f001f001f001f --  0    20    24
04 001f001f001f001f --  0    30    24
01 001f800000000000 --  1    11    05
02 001f8000001f8000 --  0    11    05
02 001f8000001f8000 --  0    31    05
01 001fc00000000000 --  1    12    06
02 001fc000001fc000 --  0    12    06
02 001fc000001fc000 --  0    32    06
01 001fe00000000000 --  1    13    07
02 001fe000001fe000 --  0    13    07
02 001fe000001fe000 --  0    33    07
01 001ff00000000000 --  1    14    08
02 001ff000001ff000 --  0    14    08
02 001ff000001ff000 --  0    34    08
01 001ff80000000000 --  1    15    09
02 001ff800001ff800 --  0    15    09
02 001ff800001ff800 --  0    35    09
01 001ffc0000000000 --  1    16    0a
02 001ffc00001ffc00 --  0    16    0a
02 001ffc00001ffc00 --  0    36    0a
01 001ffe0000000000 --  1    17    0b
02 001ffe00001ffe00 --  0    17    0b
02 001ffe00001ffe00 --  0    37    0b
01 001fff0000000000 --  1    18    0c
02 001fff00001fff00 --  0    18    0c
02 001fff00001fff00 --  0    38    0c
01 001fff8000000000 --  1    19    0d
02 001fff80001fff80 --  0    19    0d
02 001fff80001fff80 --  0    39    0d
01 001fffc000000000 --  1    1a    0e
02 001fffc0001fffc0 --  0    1a    0e
02 001fffc0001fffc0 --  0    3a    0e
01 001fffe000000000 --  1    1b    0f
02 001fffe0001fffe0 --  0    1b    0f
02 001fffe0001fffe0 --  0    3b    0f
01 001ffff000000000 --  1    1c    10
02 001ffff0001ffff0 --  0    1c    10
02 001ffff0001ffff0 --  0    3c    10
01 001ffff800000000 --  1    1d    11
02 001ffff8001ffff8 --  0    1d    11
02 001ffff8001ffff8 --  0    3d    11
01 001ffffc00000000 --  1    1e    12
02 001ffffc001ffffc --  0    1e    12
02 001ffffc001ffffc --  0    3e    12
01 001ffffe00000000 --  1    1f    13
02 001ffffe001ffffe --  0    1f    13
02 001ffffe001ffffe --  0    3f    13
01 001fffff00000000 --  1    20    14
02 001fffff001fffff --  0    00    14
02 001fffff001fffff --  0    20    14
01 001fffff80000000 --  1    21    15
01 001fffffc0000000 --  1    22    16
01 001fffffe0000000 --  1    23    17
01 001ffffff0000000 --  1    24    18
01 001ffffff8000000 --  1    25    19
01 001ffffffc000000 --  1    26    1a
01 001ffffffe000000 --  1    27    1b
01 001fffffff000000 --  1    28    1c
01 001fffffff800000 --  1    29    1d
01 001fffffffc00000 --  1    2a    1e
01 001fffffffe00000 --  1    2b    1f
01 001ffffffff00000 --  1    2c    20
01 001ffffffff80000 --  1    2d    21
01 001ffffffffc0000 --  1    2e    22
01 001ffffffffe0000 --  1    2f    23
01 001fffffffff0000 --  1    30    24
01 001fffffffff8000 --  1    31    25
01 001fffffffffc000 --  1    32    26
01 001fffffffffe000 --  1    33    27
01 001ffffffffff000 --  1    34    28
01 001ffffffffff800 --  1    35    29
01 001ffffffffffc00 --  1    36    2a
01 001ffffffffffe00 --  1    37    2b
01 001fffffffffff00 --  1    38    2c
01 001fffffffffff80 --  1    39    2d
01 001fffffffffffc0 --  1    3a    2e
01 001fffffffffffe0 --  1    3b    2f
01 001ffffffffffff0 --  1    3c    30
01 001ffffffffffff8 --  1    3d    31
01 001ffffffffffffc --  1    3e    32
01 001ffffffffffffe --  1    3f    33
01 001fffffffffffff --  1    00    34
01 0020000000000000 --  1    0b    00
02 0020000000200000 --  0    0b    00
02 0020000000200000 --  0    2b    00
04 0020002000200020 --  0    0b    20
04 0020002000200020 --  0    1b    20
04 0020002000200020 --  0    2b    20
04 0020002000200020 --  0    3b    20
01 0030000000000000 --  1    0c    01
02 0030000000300000 --  0    0c    01
02 0030000000300000 --  0    2c    01
04 0030003000300030 --  0    0c    21
04 0030003000300030 --  0    1c    21
04 0030003000300030 --  0    2c    21
04 0030003000300030 --  0    3c    21
01 0038000000000000 --  1    0d    02
02 0038000000380000 --  0    0d    02
02 0038000000380000 --  0    2d    02
04 0038003800380038 --  0    0d    22
04 0038003800380038 --  0    1d    22
04 0038003800380038 --  0    2d    22
04 0038003800380038 --  0    3d    22
01 003c000000000000 --  1    0e    03
02 003c0000003c0000 --  0    0e    03
02 003c0000003c0000 --  0    2e    03
04 003c003c003c003c --  0    0e    23
04 003c003c003c003c --  0    1e    23
04 003c003c003c003c --  0    2e    23
04 003c003c003c003c --  0    3e    23
01 003e000000000000 --  1    0f    04
02 003e0000003e0000 --  0    0f    04
02 003e0000003e0000 --  0    2f    04
04 003e003e003e003e --  0    0f    24
04 003e003e003e003e --  0    1f    24
04 003e003e003e003e --  0    2f    24
04 003e003e003e003e --  0    3f    24
01 003f000000000000 --  1    10    05
02 003f0000003f0000 --  0    10    05
02 003f0000003f0000 --  0    30    05
04 003f003f003f003f --  0    00    25
04 003f003f003f003f --  0    10    25
04 003f003f003f003f --  0    20    25
04 003f003f003f003f --  0    30    25
01 003f800000000000 --  1    11    06
02 003f8000003f8000 --  0    11    06
02 003f8000003f8000 --  0    31    06
01 003fc00000000000 --  1    12    07
02 003fc000003fc000 --  0    12    07
02 003fc000003fc000 --  0    32    07
01 003fe00000000000 --  1    13    08
02 003fe000003fe000 --  0    13    08
02 003fe000003fe000 --  0    33    08
01 003ff00000000000 --  1    14    09
02 003ff000003ff000 --  0    14    09
02 003ff000003ff000 --  0    34    09
01 003ff80000000000 --  1    15    0a
02 003ff800003ff800 --  0    15    0a
02 003ff800003ff800 --  0    35    0a
01 003ffc0000000000 --  1    16    0b
02 003ffc00003ffc00 --  0    16    0b
02 003ffc00003ffc00 --  0    36    0b
01 003ffe0000000000 --  1    17    0c
02 003ffe00003ffe00 --  0    17    0c
02 003ffe00003ffe00 --  0    37    0c
01 003fff0000000000 --  1    18    0d
02 003fff00003fff00 --  0    18    0d
02 003fff00003fff00 --  0    38    0d
01 003fff8000000000 --  1    19    0e
02 003fff80003fff80 --  0    19    0e
02 003fff80003fff80 --  0    39    0e
01 003fffc000000000 --  1    1a    0f
02 003fffc0003fffc0 --  0    1a    0f
02 003fffc0003fffc0 --  0    3a    0f
01 003fffe000000000 --  1    1b    10
02 003fffe0003fffe0 --  0    1b    10
02 003fffe0003fffe0 --  0    3b    10
01 003ffff000000000 --  1    1c    11
02 003ffff0003ffff0 --  0    1c    11
02 003ffff0003ffff0 --  0    3c    11
01 003ffff800000000 --  1    1d    12
02 003ffff8003ffff8 --  0    1d    12
02 003ffff8003ffff8 --  0    3d    12
01 003ffffc00000000 --  1    1e    13
02 003ffffc003ffffc --  0    1e    13
02 003ffffc003ffffc --  0    3e    13
01 003ffffe00000000 --  1    1f    14
02 003ffffe003ffffe --  0    1f    14
02 003ffffe003ffffe --  0    3f    14
01 003fffff00000000 --  1    20    15
02 003fffff003fffff --  0    00    15
02 003fffff003fffff --  0    20    15
01 003fffff80000000 --  1    21    16
01 003fffffc0000000 --  1    22    17
01 003fffffe0000000 --  1    23    18
01 003ffffff0000000 --  1    24    19
01 003ffffff8000000 --  1    25    1a
01 003ffffffc000000 --  1    26    1b
01 003ffffffe000000 --  1    27    1c
01 003fffffff000000 --  1    28    1d
01 003fffffff800000 --  1    29    1e
01 003fffffffc00000 --  1    2a    1f
01 003fffffffe00000 --  1    2b    20
01 003ffffffff00000 --  1    2c    21
01 003ffffffff80000 --  1    2d    22
01 003ffffffffc0000 --  1    2e    23
01 003ffffffffe0000 --  1    2f    24
01 003fffffffff0000 --  1    30    25
01 003fffffffff8000 --  1    31    26
01 003fffffffffc000 --  1    32    27
01 003fffffffffe000 --  1    33    28
01 003ffffffffff000 --  1    34    29
01 003ffffffffff800 --  1    35    2a
01 003ffffffffffc00 --  1    36    2b
01 003ffffffffffe00 --  1    37    2c
01 003fffffffffff00 --  1    38    2d
01 003fffffffffff80 --  1    39    2e
01 003fffffffffffc0 --  1    3a    2f
01 003fffffffffffe0 --  1    3b    30
01 003ffffffffffff0 --  1    3c    31
01 003ffffffffffff8 --  1    3d    32
01 003ffffffffffffc --  1    3e    33
01 003ffffffffffffe --  1    3f    34
01 003fffffffffffff --  1    00    35
01 0040000000000000 --  1    0a    00
02 0040000000400000 --  0    0a    00
02 0040000000400000 --  0    2a    00
04 0040004000400040 --  0    0a    20
04 0040004000400040 --  0    1a    20
04 0040004000400040 --  0    2a    20
04 0040004000400040 --  0    3a    20
01 0060000000000000 --  1    0b    01
02 0060000000600000 --  0    0b    01
02 0060000000600000 --  0    2b    01
04 0060006000600060 --  0    0b    21
04 0060006000600060 --  0    1b    21
04 0060006000600060 --  0    2b    21
04 0060006000600060 --  0    3b    21
01 0070000000000000 --  1    0c    02
02 0070000000700000 --  0    0c    02
02 0070000000700000 --  0    2c    02
04 0070007000700070 --  0    0c    22
04 0070007000700070 --  0    1c    22
04 0070007000700070 --  0    2c    22
04 0070007000700070 --  0    3c    22
01 0078000000000000 --  1    0d    03
02 0078000000780000 --  0    0d    03
02 0078000000780000 --  0    2d    03
04 0078007800780078 --  0    0d    23
04 0078007800780078 --  0    1d    23
04 0078007800780078 --  0    2d    23
04 0078007800780078 --  0    3d    23
01 007c000000000000 --  1    0e    04
02 007c0000007c0000 --  0    0e    04
02 007c0000007c0000 --  0    2e    04
04 007c007c007c007c --  0    0e    24
04 007c007c007c007c --  0    1e    24
04 007c007c007c007c --  0    2e    24
04 007c007c007c007c --  0    3e    24
01 007e000000000000 --  1    0f    05
02 007e0000007e0000 --  0    0f    05
02 007e0000007e0000 --  0    2f    05
04 007e007e007e007e --  0    0f    25
04 007e007e007e007e --  0    1f    25
04 007e007e007e007e --  0    2f    25
04 007e007e007e007e --  0    3f    25
01 007f000000000000 --  1    10    06
02 007f0000007f0000 --  0    10    06
02 007f0000007f0000 --  0    30    06
04 007f007f007f007f --  0    00    26
04 007f007f007f007f --  0    10    26
04 007f007f007f007f --  0    20    26
04 007f007f007f007f --  0    30    26
01 007f800000000000 --  1    11    07
02 007f8000007f8000 --  0    11    07
02 007f8000007f8000 --  0    31    07
01 007fc00000000000 --  1    12    08
02 007fc000007fc000 --  0    12    08
02 007fc000007fc000 --  0    32    08
01 007fe00000000000 --  1    13    09
02 007fe000007fe000 --  0    13    09
02 007fe000007fe000 --  0    33    09
01 007ff00000000000 --  1    14    0a
02 007ff000007ff000 --  0    14    0a
02 007ff000007ff000 --  0    34    0a
01 007ff80000000000 --  1    15    0b
02 007ff800007ff800 --  0    15    0b
02 007ff800007ff800 --  0    35    0b
01 007ffc0000000000 --  1    16    0c
02 007ffc00007ffc00 --  0    16    0c
02 007ffc00007ffc00 --  0    36    0c
01 007ffe0000000000 --  1    17    0d
02 007ffe00007ffe00 --  0    17    0d
02 007ffe00007ffe00 --  0    37    0d
01 007fff0000000000 --  1    18    0e
02 007fff00007fff00 --  0    18    0e
02 007fff00007fff00 --  0    38    0e
01 007fff8000000000 --  1    19    0f
02 007fff80007fff80 --  0    19    0f
02 007fff80007fff80 --  0    39    0f
01 007fffc000000000 --  1    1a    10
02 007fffc0007fffc0 --  0    1a    10
02 007fffc0007fffc0 --  0    3a    10
01 007fffe000000000 --  1    1b    11
02 007fffe0007fffe0 --  0    1b    11
02 007fffe0007fffe0 --  0    3b    11
01 007ffff000000000 --  1    1c    12
02 007ffff0007ffff0 --  0    1c    12
02 007ffff0007ffff0 --  0    3c    12
01 007ffff800000000 --  1    1d    13
02 007ffff8007ffff8 --  0    1d    13
02 007ffff8007ffff8 --  0    3d    13
01 007ffffc00000000 --  1    1e    14
02 007ffffc007ffffc --  0    1e    14
02 007ffffc007ffffc --  0    3e    14
01 007ffffe00000000 --  1    1f    15
02 007ffffe007ffffe --  0    1f    15
02 007ffffe007ffffe --  0    3f    15
01 007fffff00000000 --  1    20    16
02 007fffff007fffff --  0    00    16
02 007fffff007fffff --  0    20    16
01 007fffff80000000 --  1    21    17
01 007fffffc0000000 --  1    22    18
01 007fffffe0000000 --  1    23    19
01 007ffffff0000000 --  1    24    1a
01 007ffffff8000000 --  1    25    1b
01 007ffffffc000000 --  1    26    1c
01 007ffffffe000000 --  1    27    1d
01 007fffffff000000 --  1    28    1e
01 007fffffff800000 --  1    29    1f
01 007fffffffc00000 --  1    2a    20
01 007fffffffe00000 --  1    2b    21
01 007ffffffff00000 --  1    2c    22
01 007ffffffff80000 --  1    2d    23
01 007ffffffffc0000 --  1    2e    24
01 007ffffffffe0000 --  1    2f    25
01 007fffffffff0000 --  1    30    26
01 007fffffffff8000 --  1    31    27
01 007fffffffffc000 --  1    32    28
01 007fffffffffe000 --  1    33    29
01 007ffffffffff000 --  1    34    2a
01 007ffffffffff800 --  1    35    2b
01 007ffffffffffc00 --  1    36    2c
01 007ffffffffffe00 --  1    37    2d
01 007fffffffffff00 --  1    38    2e
01 007fffffffffff80 --  1    39    2f
01 007fffffffffffc0 --  1    3a    30
01 007fffffffffffe0 --  1    3b    31
01 007ffffffffffff0 --  1    3c    32
01 007ffffffffffff8 --  1    3d    33
01 007ffffffffffffc --  1    3e    34
01 007ffffffffffffe --  1    3f    35
01 007fffffffffffff --  1    00    36
01 0080000000000000 --  1    09    00
02 0080000000800000 --  0    09    00
02 0080000000800000 --  0    29    00
04 0080008000800080 --  0    09    20
04 0080008000800080 --  0    19    20
04 0080008000800080 --  0    29    20
04 0080008000800080 --  0    39    20
01 00c0000000000000 --  1    0a    01
02 00c0000000c00000 --  0    0a    01
02 00c0000000c00000 --  0    2a    01
04 00c000c000c000c0 --  0    0a    21
04 00c000c000c000c0 --  0    1a    21
04 00c000c000c000c0 --  0    2a    21
04 00c000c000c000c0 --  0    3a    21
01 00e0000000000000 --  1    0b    02
02 00e0000000e00000 --  0    0b    02
02 00e0000000e00000 --  0    2b    02
04 00e000e000e000e0 --  0    0b    22
04 00e000e000e000e0 --  0    1b    22
04 00e000e000e000e0 --  0    2b    22
04 00e000e000e000e0 --  0    3b    22
01 00f0000000000000 --  1    0c    03
02 00f0000000f00000 --  0    0c    03
02 00f0000000f00000 --  0    2c    03
04 00f000f000f000f0 --  0    0c    23
04 00f000f000f000f0 --  0    1c    23
04 00f000f000f000f0 --  0    2c    23
04 00f000f000f000f0 --  0    3c    23
01 00f8000000000000 --  1    0d    04
02 00f8000000f80000 --  0    0d    04
02 00f8000000f80000 --  0    2d    04
04 00f800f800f800f8 --  0    0d    24
04 00f800f800f800f8 --  0    1d    24
04 00f800f800f800f8 --  0    2d    24
04 00f800f800f800f8 --  0    3d    24
01 00fc000000000000 --  1    0e    05
02 00fc000000fc0000 --  0    0e    05
02 00fc000000fc0000 --  0    2e    05
04 00fc00fc00fc00fc --  0    0e    25
04 00fc00fc00fc00fc --  0    1e    25
04 00fc00fc00fc00fc --  0    2e    25
04 00fc00fc00fc00fc --  0    3e    25
01 00fe000000000000 --  1    0f    06
02 00fe000000fe0000 --  0    0f    06
02 00fe000000fe0000 --  0    2f    06
04 00fe00fe00fe00fe --  0    0f    26
04 00fe00fe00fe00fe --  0    1f    26
04 00fe00fe00fe00fe --  0    2f    26
04 00fe00fe00fe00fe --  0    3f    26
01 00ff000000000000 --  1    10    07
02 00ff000000ff0000 --  0    10    07
02 00ff000000ff0000 --  0    30    07
04 00ff00ff00ff00ff --  0    00    27
04 00ff00ff00ff00ff --  0    10    27
04 00ff00ff00ff00ff --  0    20    27
04 00ff00ff00ff00ff --  0    30    27
01 00ff800000000000 --  1    11    08
02 00ff800000ff8000 --  0    11    08
02 00ff800000ff8000 --  0    31    08
01 00ffc00000000000 --  1    12    09
02 00ffc00000ffc000 --  0    12    09
02 00ffc00000ffc000 --  0    32    09
01 00ffe00000000000 --  1    13    0a
02 00ffe00000ffe000 --  0    13    0a
02 00ffe00000ffe000 --  0    33    0a
01 00fff00000000000 --  1    14    0b
02 00fff00000fff000 --  0    14    0b
02 00fff00000fff000 --  0    34    0b
01 00fff80000000000 --  1    15    0c
02 00fff80000fff800 --  0    15    0c
02 00fff80000fff800 --  0    35    0c
01 00fffc0000000000 --  1    16    0d
02 00fffc0000fffc00 --  0    16    0d
02 00fffc0000fffc00 --  0    36    0d
01 00fffe0000000000 --  1    17    0e
02 00fffe0000fffe00 --  0    17    0e
02 00fffe0000fffe00 --  0    37    0e
01 00ffff0000000000 --  1    18    0f
02 00ffff0000ffff00 --  0    18    0f
02 00ffff0000ffff00 --  0    38    0f
01 00ffff8000000000 --  1    19    10
02 00ffff8000ffff80 --  0    19    10
02 00ffff8000ffff80 --  0    39    10
01 00ffffc000000000 --  1    1a    11
02 00ffffc000ffffc0 --  0    1a    11
02 00ffffc000ffffc0 --  0    3a    11
01 00ffffe000000000 --  1    1b    12
02 00ffffe000ffffe0 --  0    1b    12
02 00ffffe000ffffe0 --  0    3b    12
01 00fffff000000000 --  1    1c    13
02 00fffff000fffff0 --  0    1c    13
02 00fffff000fffff0 --  0    3c    13
01 00fffff800000000 --  1    1d    14
02 00fffff800fffff8 --  0    1d    14
02 00fffff800fffff8 --  0    3d    14
01 00fffffc00000000 --  1    1e    15
02 00fffffc00fffffc --  0    1e    15
02 00fffffc00fffffc --  0    3e    15
01 00fffffe00000000 --  1    1f    16
02 00fffffe00fffffe --  0    1f    16
02 00fffffe00fffffe --  0    3f    16
01 00ffffff00000000 --  1    20    17
02 00ffffff00ffffff --  0    00    17
02 00ffffff00ffffff --  0    20    17
01 00ffffff80000000 --  1    21    18
01 00ffffffc0000000 --  1    22    19
01 00ffffffe0000000 --  1    23    1a
01 00fffffff0000000 --  1    24    1b
01 00fffffff8000000 --  1    25    1c
01 00fffffffc000000 --  1    26    1d
01 00fffffffe000000 --  1    27    1e
01 00ffffffff000000 --  1    28    1f
01 00ffffffff800000 --  1    29    20
01 00ffffffffc00000 --  1    2a    21
01 00ffffffffe00000 --  1    2b    22
01 00fffffffff00000 --  1    2c    23
01 00fffffffff80000 --  1    2d    24
01 00fffffffffc0000 --  1    2e    25
01 00fffffffffe0000 --  1    2f    26
01 00ffffffffff0000 --  1    30    27
01 00ffffffffff8000 --  1    31    28
01 00ffffffffffc000 --  1    32    29
01 00ffffffffffe000 --  1    33    2a
01 00fffffffffff000 --  1    34    2b
01 00fffffffffff800 --  1    35    2c
01 00fffffffffffc00 --  1    36    2d
01 00fffffffffffe00 --  1    37    2e
01 00ffffffffffff00 --  1    38    2f
01 00ffffffffffff80 --  1    39    30
01 00ffffffffffffc0 --  1    3a    31
01 00ffffffffffffe0 --  1    3b    32
01 00fffffffffffff0 --  1    3c    33
01 00fffffffffffff8 --  1    3d    34
01 00fffffffffffffc --  1    3e    35
01 00fffffffffffffe --  1    3f    36
