## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
01 0000000000070000 --  1    30    02
01 0000000000078000 --  1    31    03
01 000000000007c000 --  1    32    04
01 000000000007e000 --  1    33    05
01 000000000007f000 --  1    34    06
01 000000000007f800 --  1    35    07
01 000000000007fc00 --  1    36    08
01 000000000007fe00 --  1    37    09
01 000000000007ff00 --  1    38    0a
01 000000000007ff80 --  1    39    0b
01 000000000007ffc0 --  1    3a    0c
01 000000000007ffe0 --  1    3b    0d
01 000000000007fff0 --  1    3c    0e
01 000000000007fff8 --  1    3d    0f
01 000000000007fffc --  1    3e    10
01 000000000007fffe --  1    3f    11
01 000000000007ffff --  1    00    12
01 0000000000080000 --  1    2d    00
01 00000000000c0000 --  1    2e    01
01 00000000000e0000 --  1    2f    02
01 00000000000f0000 --  1    30    03
01 00000000000f8000 --  1    31    04
01 00000000000fc000 --  1    32    05
01 00000000000fe000 --  1    33    06
01 00000000000ff000 --  1    34    07
01 00000000000ff800 --  1    35    08
01 00000000000ffc00 --  1    36    09
01 00000000000ffe00 --  1    37    0a
01 00000000000fff00 --  1    38    0b
01 00000000000fff80 --  1    39    0c
01 00000000000fffc0 --  1    3a    0d
01 00000000000fffe0 --  1    3b    0e
01 00000000000ffff0 --  1    3c    0f
01 00000000000ffff8 --  1    3d    10
01 00000000000ffffc --  1    3e    11
01 00000000000ffffe --  1    3f    12
01 00000000000fffff --  1    00    13
01 0000000000100000 --  1    2c    00
01 0000000000180000 --  1    2d    01
01 00000000001c0000 --  1    2e    02
01 00000000001e0000 --  1    2f    03
01 00000000001f0000 --  1    30    04
01 00000000001f8000 --  1    31    05
01 00000000001fc000 --  1    32    06
01 00000000001fe000 --  1    33    07
01 00000000001ff000 --  1    34    08
01 00000000001ff800 --  1    35    09
01 00000000001ffc00 --  1    36    0a
01 00000000001ffe00 --  1    37    0b
01 00000000001fff00 --  1    38    0c
01 00000000001fff80 --  1    39    0d
01 00000000001fffc0 --  1    3a    0e
01 00000000001fffe0 --  1    3b    0f
01 00000000001ffff0 --  1    3c    10
01 00000000001ffff8 --  1    3d    11
01 00000000001ffffc --  1    3e    12
01 00000000001ffffe --  1    3f    13
01 00000000001fffff --  1    00    14
01 0000000000200000 --  1    2b    00
01 0000000000300000 --  1    2c    01
01 0000000000380000 --  1    2d    02
01 00000000003c0000 --  1    2e    03
01 00000000003e0000 --  1    2f    04
01 00000000003f0000 --  1    30    05
01 00000000003f8000 --  1    31    06
01 00000000003fc000 --  1    32    07
01 00000000003fe000 --  1    33    08
01 00000000003ff000 --  1    34    09
01 00000000003ff800 --  1    35    0a
01 00000000003ffc00 --  1    36    0b
01 00000000003ffe00 --  1    37    0c
01 00000000003fff00 --  1    38    0d
01 00000000003fff80 --  1    39    0e
01 00000000003fffc0 --  1    3a    0f
01 00000000003fffe0 --  1    3b    10
01 00000000003ffff0 --  1    3c    11
01 00000000003ffff8 --  1    3d    12
01 00000000003ffffc --  1    3e    13
01 00000000003ffffe --  1    3f    14
01 00000000003fffff --  1    00    15
01 0000000000400000 --  1    2a    00
01 0000000000600000 --  1    2b    01
01 0000000000700000 --  1    2c    02
01 0000000000780000 --  1    2d    03
01 00000000007c0000 --  1    2e    04
01 00000000007e0000 --  1    2f    05
01 00000000007f0000 --  1    30    06
01 00000000007f8000 --  1    31    07
01 00000000007fc000 --  1    32    08
01 00000000007fe000 --  1    33    09
01 00000000007ff000 --  1    34    0a
01 00000000007ff800 --  1    35    0b
01 00000000007ffc00 --  1    36    0c
01 00000000007ffe00 --  1    37    0d
01 00000000007fff00 --  1    38    0e
01 00000000007fff80 --  1    39    0f
01 00000000007fffc0 --  1    3a    10
01 00000000007fffe0 --  1    3b    11
01 00000000007ffff0 --  1    3c    12
01 00000000007ffff8 --  1    3d    13
01 00000000007ffffc --  1    3e    14
01 00000000007ffffe --  1    3f    15
01 00000000007fffff --  1    00    16
01 0000000000800000 --  1    29    00
01 0000000000c00000 --  1    2a    01
01 0000000000e00000 --  1    2b    02
01 0000000000f00000 --  1    2c    03
01 0000000000f80000 --  1    2d    04
01 0000000000fc0000 --  1    2e    05
01 0000000000fe0000 --  1    2f    06
01 0000000000ff0000 --  1    30    07
01 0000000000ff8000 --  1    31    08
01 0000000000ffc000 --  1    32    09
01 0000000000ffe000 --  1    33    0a
01 0000000000fff000 --  1    34    0b
01 0000000000fff800 --  1    35    0c
01 0000000000fffc00 --  1    36    0d
01 0000000000fffe00 --  1    37    0e
01 0000000000ffff00 --  1    38    0f
01 0000000000ffff80 --  1    39    10
01 0000000000ffffc0 --  1    3a    11
01 0000000000ffffe0 --  1    3b    12
01 0000000000fffff0 --  1    3c    13
01 0000000000fffff8 --  1    3d    14
01 0000000000fffffc --  1    3e    15
01 0000000000fffffe --  1    3f    16
01 0000000000ffffff --  1    00    17
01 0000000001000000 --  1    28    00
01 0000000001800000 --  1    29    01
01 0000000001c00000 --  1    2a    02
01 0000000001e00000 --  1    2b    03
01 0000000001f00000 --  1    2c    04
01 0000000001f80000 --  1    2d    05
01 0000000001fc0000 --  1    2e    06
01 0000000001fe0000 --  1    2f    07
01 0000000001ff0000 --  1    30    08
01 0000000001ff8000 --  1    31    09
01 0000000001ffc000 --  1    32    0a
01 0000000001ffe000 --  1    33    0b
01 0000000001fff000 --  1    34    0c
01 0000000001fff800 --  1    35    0d
01 0000000001fffc00 --  1    36    0e
01 0000000001fffe00 --  1    37    0f
01 0000000001ffff00 --  1    38    10
01 0000000001ffff80 --  1    39    11
01 0000000001ffffc0 --  1    3a    12
01 0000000001ffffe0 --  1    3b    13
01 0000000001fffff0 --  1    3c    14
01 0000000001fffff8 --  1    3d    15
01 0000000001fffffc --  1    3e    16
01 0000000001fffffe --  1    3f    17
01 0000000001ffffff --  1    00    18
01 0000000002000000 --  1    27    00
01 0000000003000000 --  1    28    01
01 0000000003800000 --  1    29    02
01 0000000003c00000 --  1    2a    03
01 0000000003e00000 --  1    2b    04
01 0000000003f00000 --  1    2c    05
01 0000000003f80000 --  1    2d    06
01 0000000003fc0000 --  1    2e    07
01 0000000003fe0000 --  1    2f    08
01 0000000003ff0000 --  1    30    09
01 0000000003ff8000 --  1    31    0a
01 0000000003ffc000 --  1    32    0b
01 0000000003ffe000 --  1    33    0c
01 0000000003fff000 --  1    34    0d
01 0000000003fff800 --  1    35    0e
01 0000000003fffc00 --  1    36    0f
01 0000000003fffe00 --  1    37    10
01 0000000003ffff00 --  1    38    11
01 0000000003ffff80 --  1    39    12
01 0000000003ffffc0 --  1    3a    13
01 0000000003ffffe0 --  1    3b    14
01 0000000003fffff0 --  1    3c    15
01 0000000003fffff8 --  1    3d    16
01 0000000003fffffc --  1    3e    17
01 0000000003fffffe --  1    3f    18
01 0000000003ffffff --  1    00    19
01 0000000004000000 --  1    26    00
01 0000000006000000 --  1    27    01
01 0000000007000000 --  1    28    02
01 0000000007800000 --  1    29    03
01 0000000007c00000 --  1    2a    04
01 0000000007e00000 --  1    2b    05
01 0000000007f00000 --  1    2c    06
01 0000000007f80000 --  1    2d    07
01 0000000007fc0000 --  1    2e    08
01 0000000007fe0000 --  1    2f    09
01 0000000007ff0000 --  1    30    0a
01 0000000007ff8000 --  1    31    0b
01 0000000007ffc000 --  1    32    0c
01 0000000007ffe000 --  1    33    0d
01 0000000007fff000 --  1    34    0e
01 0000000007fff800 --  1    35    0f
01 0000000007fffc00 --  1    36    10
01 0000000007fffe00 --  1    37    11
01 0000000007ffff00 --  1    38    12
01 0000000007ffff80 --  1    39    13
01 0000000007ffffc0 --  1    3a    14
01 0000000007ffffe0 --  1    3b    15
01 0000000007fffff0 --  1    3c    16
01 0000000007fffff8 --  1    3d    17
01 0000000007fffffc --  1    3e    18
01 0000000007fffffe --  1    3f    19
01 0000000007ffffff --  1    00    1a
01 0000000008000000 --  1    25    00
01 000000000c000000 --  1    26    01
01 000000000e000000 --  1    27    02
01 000000000f000000 --  1    28    03
01 000000000f800000 --  1    29    04
01 000000000fc00000 --  1    2a    05
01 000000000fe00000 --  1    2b    06
01 000000000ff00000 --  1    2c    07
01 000000000ff80000 --  1    2d    08
01 000000000ffc0000 --  1    2e    09
01 000000000ffe0000 --  1    2f    0a
01 000000000fff0000 --  1    30    0b
01 000000000fff8000 --  1    31    0c
01 000000000fffc000 --  1    32    0d
01 000000000fffe000 --  1    33    0e
01 000000000ffff000 --  1    34    0f
01 000000000ffff800 --  1    35    10
01 000000000ffffc00 --  1    36    11
01 000000000ffffe00 --  1    37    12
01 000000000fffff00 --  1    38    13
01 000000000fffff80 --  1    39    14
01 000000000fffffc0 --  1    3a    15
01 000000000fffffe0 --  1    3b    16
01 000000000ffffff0 --  1    3c    17
01 000000000ffffff8 --  1    3d    18
01 000000000ffffffc --  1    3e    19
01 000000000ffffffe --  1    3f    1a
01 000000000fffffff --  1    00    1b
01 0000000010000000 --  1    24    00
01 0000000018000000 --  1    25    01
01 000000001c000000 --  1    26    02
01 000000001e000000 --  1    27    03
01 000000001f000000 --  1    28    04
01 000000001f800000 --  1    29    05
01 000000001fc00000 --  1    2a    06
01 000000001fe00000 --  1    2b    07
01 000000001ff00000 --  1    2c    08
01 000000001ff80000 --  1    2d    09
01 000000001ffc0000 --  1    2e    0a
01 000000001ffe0000 --  1    2f    0b
01 000000001fff0000 --  1    30    0c
01 000000001fff8000 --  1    31    0d
01 000000001fffc000 --  1    32    0e
01 000000001fffe000 --  1    33    0f
01 000000001ffff000 --  1    34    10
01 000000001ffff800 --  1    35    11
01 000000001ffffc00 --  1    36    12
