Created Pattern  ##     N   immr  imms
0000000000040000 01 --  1    2e    00
0000000000060000 01 --  1    2f    01
0000000000070000 01 --  1    30    02
0000000000078000 01 --  1    31    03
000000000007c000 01 --  1    32    04
000000000007e000 01 --  1    33    05
000000000007f000 01 --  1    34    06
000000000007f800 01 --  1    35    07
000000000007fc00 01 --  1    36    08
000000000007fe00 01 --  1    37    09
000000000007ff00 01 --  1    38    0a
000000000007ff80 01 --  1    39    0b
000000000007ffc0 01 --  1    3a    0c
000000000007ffe0 01 --  1    3b    0d
000000000007fff0 01 --  1    3c    0e
000000000007fff8 01 --  1    3d    0f
000000000007fffc 01 --  1    3e    10
000000000007fffe 01 --  1    3f    11
000000000007ffff 01 --  1    00    12
0000000000080000 01 --  1    2d    00
00000000000c0000 01 --  1    2e    01
00000000000e0000 01 --  1    2f    02
00000000000f0000 01 --  1    30    03
00000000000f8000 01 --  1    31    04
00000000000fc000 01 --  1    32    05
00000000000fe000 01 --  1    33    06
00000000000ff000 01 --  1    34    07
00000000000ff800 01 --  1    35    08
00000000000ffc00 01 --  1    36    09
00000000000ffe00 01 --  1    37    0a
00000000000fff00 01 --  1    38    0b
00000000000fff80 01 --  1    39    0c
00000000000fffc0 01 --  1    3a    0d
00000000000fffe0 01 --  1    3b    0e
00000000000ffff0 01 --  1    3c    0f
00000000000ffff8 01 --  1    3d    10
00000000000ffffc 01 --  1    3e    11
00000000000ffffe 01 --  1    3f    12
00000000000fffff 01 --  1    00    13
0000000000100000 01 --  1    2c    00
0000000000180000 01 --  1    2d    01
00000000001c0000 01 --  1    2e    02
00000000001e0000 01 --  1    2f    03
00000000001f0000 01 --  1    30    04
00000000001f8000 01 --  1    31    05
00000000001fc000 01 --  1    32    06
00000000001fe000 01 --  1    33    07
00000000001ff000 01 --  1    34    08
00000000001ff800 01 --  1    35    09
00000000001ffc00 01 --  1    36    0a
00000000001ffe00 01 --  1    37    0b
00000000001fff00 01 --  1    38    0c
00000000001fff80 01 --  1    39    0d
00000000001fffc0 01 --  1    3a    0e
00000000001fffe0 01 --  1    3b    0f
00000000001ffff0 01 --  1    3c    10
00000000001ffff8 01 --  1    3d    11
00000000001ffffc 01 --  1    3e    12
00000000001ffffe 01 --  1    3f    13
00000000001fffff 01 --  1    00    14
0000000000200000 01 --  1    2b    00
0000000000300000 01 --  1    2c    01
0000000000380000 01 --  1    2d    02
00000000003c0000 01 --  1    2e    03
00000000003e0000 01 --  1    2f    04
00000000003f0000 01 --  1    30    05
00000000003f8000 01 --  1    31    06
00000000003fc000 01 --  1    32    07
00000000003fe000 01 --  1    33    08
00000000003ff000 01 --  1    34    09
00000000003ff800 01 --  1    35    0a
00000000003ffc00 01 --  1    36    0b
00000000003ffe00 01 --  1    37    0c
00000000003fff00 01 --  1    38    0d
00000000003fff80 01 --  1    39    0e
00000000003fffc0 01 --  1    3a    0f
00000000003fffe0 01 --  1    3b    10
00000000003ffff0 01 --  1    3c    11
00000000003ffff8 01 --  1    3d    12
00000000003ffffc 01 --  1    3e    13
00000000003ffffe 01 --  1    3f    14
00000000003fffff 01 --  1    00    15
0000000000400000 01 --  1    2a    00
0000000000600000 01 --  1    2b    01
0000000000700000 01 --  1    2c    02
0000000000780000 01 --  1    2d    03
00000000007c0000 01 --  1    2e    04
00000000007e0000 01 --  1    2f    05
00000000007f0000 01 --  1    30    06
00000000007f8000 01 --  1    31    07
00000000007fc000 01 --  1    32    08
00000000007fe000 01 --  1    33    09
00000000007ff000 01 --  1    34    0a
00000000007ff800 01 --  1    35    0b
00000000007ffc00 01 --  1    36    0c
00000000007ffe00 01 --  1    37    0d
00000000007fff00 01 --  1    38    0e
00000000007fff80 01 --  1    39    0f
00000000007fffc0 01 --  1    3a    10
00000000007fffe0 01 --  1    3b    11
00000000007ffff0 01 --  1    3c    12
00000000007ffff8 01 --  1    3d    13
00000000007ffffc 01 --  1    3e    14
00000000007ffffe 01 --  1    3f    15
00000000007fffff 01 --  1    00    16
0000000000800000 01 --  1    29    00
0000000000c00000 01 --  1    2a    01
0000000000e00000 01 --  1    2b    02
0000000000f00000 01 --  1    2c    03
0000000000f80000 01 --  1    2d    04
0000000000fc0000 01 --  1    2e    05
0000000000fe0000 01 --  1    2f    06
0000000000ff0000 01 --  1    30    07
0000000000ff8000 01 --  1    31    08
0000000000ffc000 01 --  1    32    09
0000000000ffe000 01 --  1    33    0a
0000000000fff000 01 --  1    34    0b
0000000000fff800 01 --  1    35    0c
0000000000fffc00 01 --  1    36    0d
0000000000fffe00 01 --  1    37    0e
0000000000ffff00 01 --  1    38    0f
0000000000ffff80 01 --  1    39    10
0000000000ffffc0 01 --  1    3a    11
0000000000ffffe0 01 --  1    3b    12
0000000000fffff0 01 --  1    3c    13
0000000000fffff8 01 --  1    3d    14
0000000000fffffc 01 --  1    3e    15
0000000000fffffe 01 --  1    3f    16
0000000000ffffff 01 --  1    00    17
0000000001000000 01 --  1    28    00
0000000001800000 01 --  1    29    01
0000000001c00000 01 --  1    2a    02
0000000001e00000 01 --  1    2b    03
0000000001f00000 01 --  1    2c    04
0000000001f80000 01 --  1    2d    05
0000000001fc0000 01 --  1    2e    06
0000000001fe0000 01 --  1    2f    07
0000000001ff0000 01 --  1    30    08
0000000001ff8000 01 --  1    31    09
0000000001ffc000 01 --  1    32    0a
0000000001ffe000 01 --  1    33    0b
0000000001fff000 01 --  1    34    0c
0000000001fff800 01 --  1    35    0d
0000000001fffc00 01 --  1    36    0e
0000000001fffe00 01 --  1    37    0f
0000000001ffff00 01 --  1    38    10
0000000001ffff80 01 --  1    39    11
0000000001ffffc0 01 --  1    3a    12
0000000001ffffe0 01 --  1    3b    13
0000000001fffff0 01 --  1    3c    14
0000000001fffff8 01 --  1    3d    15
0000000001fffffc 01 --  1    3e    16
0000000001fffffe 01 --  1    3f    17
0000000001ffffff 01 --  1    00    18
0000000002000000 01 --  1    27    00
0000000003000000 01 --  1    28    01
0000000003800000 01 --  1    29    02
0000000003c00000 01 --  1    2a    03
0000000003e00000 01 --  1    2b    04
0000000003f00000 01 --  1    2c    05
0000000003f80000 01 --  1    2d    06
0000000003fc0000 01 --  1    2e    07
0000000003fe0000 01 --  1    2f    08
0000000003ff0000 01 --  1    30    09
0000000003ff8000 01 --  1    31    0a
0000000003ffc000 01 --  1    32    0b
0000000003ffe000 01 --  1    33    0c
0000000003fff000 01 --  1    34    0d
0000000003fff800 01 --  1    35    0e
0000000003fffc00 01 --  1    36    0f
0000000003fffe00 01 --  1    37    10
0000000003ffff00 01 --  1    38    11
0000000003ffff80 01 --  1    39    12
0000000003ffffc0 01 --  1    3a    13
0000000003ffffe0 01 --  1    3b    14
0000000003fffff0 01 --  1    3c    15
0000000003fffff8 01 --  1    3d    16
0000000003fffffc 01 --  1    3e    17
0000000003fffffe 01 --  1    3f    18
0000000003ffffff 01 --  1    00    19
0000000004000000 01 --  1    26    00
0000000006000000 01 --  1    27    01
0000000007000000 01 --  1    28    02
0000000007800000 01 --  1    29    03
0000000007c00000 01 --  1    2a    04
0000000007e00000 01 --  1    2b    05
0000000007f00000 01 --  1    2c    06
0000000007f80000 01 --  1    2d    07
0000000007fc0000 01 --  1    2e    08
0000000007fe0000 01 --  1    2f    09
0000000007ff0000 01 --  1    30    0a
0000000007ff8000 01 --  1    31    0b
0000000007ffc000 01 --  1    32    0c
0000000007ffe000 01 --  1    33    0d
0000000007fff000 01 --  1    34    0e
0000000007fff800 01 --  1    35    0f
0000000007fffc00 01 --  1    36    10
0000000007fffe00 01 --  1    37    11
0000000007ffff00 01 --  1    38    12
0000000007ffff80 01 --  1    39    13
0000000007ffffc0 01 --  1    3a    14
0000000007ffffe0 01 --  1    3b    15
0000000007fffff0 01 --  1    3c    16
0000000007fffff8 01 --  1    3d    17
0000000007fffffc 01 --  1    3e    18
0000000007fffffe 01 --  1    3f    19
0000000007ffffff 01 --  1    00    1a
0000000008000000 01 --  1    25    00
000000000c000000 01 --  1    26    01
000000000e000000 01 --  1    27    02
000000000f000000 01 --  1    28    03
000000000f800000 01 --  1    29    04
000000000fc00000 01 --  1    2a    05
000000000fe00000 01 --  1    2b    06
000000000ff00000 01 --  1    2c    07
000000000ff80000 01 --  1    2d    08
000000000ffc0000 01 --  1    2e    09
000000000ffe0000 01 --  1    2f    0a
000000000fff0000 01 --  1    30    0b
000000000fff8000 01 --  1    31    0c
000000000fffc000 01 --  1    32    0d
000000000fffe000 01 --  1    33    0e
000000000ffff000 01 --  1    34    0f
000000000ffff800 01 --  1    35    10
000000000ffffc00 01 --  1    36    11
000000000ffffe00 01 --  1    37    12
000000000fffff00 01 --  1    38    13
000000000fffff80 01 --  1    39    14
000000000fffffc0 01 --  1    3a    15
000000000fffffe0 01 --  1    3b    16
000000000ffffff0 01 --  1    3c    17
000000000ffffff8 01 --  1    3d    18
000000000ffffffc 01 --  1    3e    19
000000000ffffffe 01 --  1    3f    1a
000000000fffffff 01 --  1    00    1b
0000000010000000 01 --  1    24    00
0000000018000000 01 --  1    25    01
000000001c000000 01 --  1    26    02
000000001e000000 01 --  1    27    03
000000001f000000 01 --  1    28    04
000000001f800000 01 --  1    29    05
000000001fc00000 01 --  1    2a    06
000000001fe00000 01 --  1    2b    07
000000001ff00000 01 --  1    2c    08
000000001ff80000 01 --  1    2d    09
000000001ffc0000 01 --  1    2e    0a
000000001ffe0000 01 --  1    2f    0b
000000001fff0000 01 --  1    30    0c
000000001fff8000 01 --  1    31    0d
000000001fffc000 01 --  1    32    0e
000000001fffe000 01 --  1    33    0f
000000001ffff000 01 --  1    34    10
000000001ffff800 01 --  1    35    11
000000001ffffc00 01 --  1    36    12
000000001ffffe00 01 --  1    37    13
000000001fffff00 01 --  1    38    14
000000001fffff80 01 --  1    39    15
000000001fffffc0 01 --  1    3a    16
000000001fffffe0 01 --  1    3b    17
000000001ffffff0 01 --  1    3c    18
000000001ffffff8 01 --  1    3d    19
000000001ffffffc 01 --  1    3e    1a
000000001ffffffe 01 --  1    3f    1b
000000001fffffff 01 --  1    00    1c
0000000020000000 01 --  1    23    00
0000000030000000 01 --  1    24    01
0000000038000000 01 --  1    25    02
000000003c000000 01 --  1    26    03
000000003e000000 01 --  1    27    04
000000003f000000 01 --  1    28    05
000000003f800000 01 --  1    29    06
000000003fc00000 01 --  1    2a    07
000000003fe00000 01 --  1    2b    08
000000003ff00000 01 --  1    2c    09
000000003ff80000 01 --  1    2d    0a
000000003ffc0000 01 --  1    2e    0b
000000003ffe0000 01 --  1    2f    0c
000000003fff0000 01 --  1    30    0d
000000003fff8000 01 --  1    31    0e
000000003fffc000 01 --  1    32    0f
000000003fffe000 01 --  1    33    10
000000003ffff000 01 --  1    34    11
000000003ffff800 01 --  1    35    12
000000003ffffc00 01 --  1    36    13
000000003ffffe00 01 --  1    37    14
000000003fffff00 01 --  1    38    15
000000003fffff80 01 --  1    39    16
000000003fffffc0 01 --  1    3a    17
000000003fffffe0 01 --  1    3b    18
000000003ffffff0 01 --  1    3c    19
000000003ffffff8 01 --  1    3d    1a
000000003ffffffc 01 --  1    3e    1b
000000003ffffffe 01 --  1    3f    1c
000000003fffffff 01 --  1    00    1d
0000000040000000 01 --  1    22    00
0000000060000000 01 --  1    23    01
0000000070000000 01 --  1    24    02
0000000078000000 01 --  1    25    03
000000007c000000 01 --  1    26    04
000000007e000000 01 --  1    27    05
000000007f000000 01 --  1    28    06
000000007f800000 01 --  1    29    07
000000007fc00000 01 --  1    2a    08
000000007fe00000 01 --  1    2b    09
000000007ff00000 01 --  1    2c    0a
000000007ff80000 01 --  1    2d    0b
000000007ffc0000 01 --  1    2e    0c
000000007ffe0000 01 --  1    2f    0d
000000007fff0000 01 --  1    30    0e
000000007fff8000 01 --  1    31    0f
000000007fffc000 01 --  1    32    10
000000007fffe000 01 --  1    33    11
000000007ffff000 01 --  1    34    12
000000007ffff800 01 --  1    35    13
000000007ffffc00 01 --  1    36    14
000000007ffffe00 01 --  1    37    15
000000007fffff00 01 --  1    38    16
000000007fffff80 01 --  1    39    17
000000007fffffc0 01 --  1    3a    18
000000007fffffe0 01 --  1    3b    19
000000007ffffff0 01 --  1    3c    1a
000000007ffffff8 01 --  1    3d    1b
000000007ffffffc 01 --  1    3e    1c
000000007ffffffe 01 --  1    3f    1d
000000007fffffff 01 --  1    00    1e
0000000080000000 01 --  1    21    00
00000000c0000000 01 --  1    22    01
00000000e0000000 01 --  1    23    02
00000000f0000000 01 --  1    24    03
00000000f8000000 01 --  1    25    04
00000000fc000000 01 --  1    26    05
00000000fe000000 01 --  1    27    06
00000000ff000000 01 --  1    28    07
00000000ff800000 01 --  1    29    08
00000000ffc00000 01 --  1    2a    09
00000000ffe00000 01 --  1    2b    0a
00000000fff00000 01 --  1    2c    0b
00000000fff80000 01 --  1    2d    0c
00000000fffc0000 01 --  1    2e    0d
00000000fffe0000 01 --  1    2f    0e
00000000ffff0000 01 --  1    30    0f
00000000ffff8000 01 --  1    31    10
00000000ffffc000 01 --  1    32    11
00000000ffffe000 01 --  1    33    12
00000000fffff000 01 --  1    34    13
00000000fffff800 01 --  1    35    14
00000000fffffc00 01 --  1    36    15
00000000fffffe00 01 --  1    37    16
00000000ffffff00 01 --  1    38    17
00000000ffffff80 01 --  1    39    18
00000000ffffffc0 01 --  1    3a    19
00000000ffffffe0 01 --  1    3b    1a
00000000fffffff0 01 --  1    3c    1b
00000000fffffff8 01 --  1    3d    1c
00000000fffffffc 01 --  1    3e    1d
00000000fffffffe 01 --  1    3f    1e
00000000ffffffff 01 --  1    00    1f
0000000100000000 01 --  1    20    00
0000000100000001 02 --  0    00    00
0000000100000001 02 --  0    20    00
0000000180000000 01 --  1    21    01
00000001c0000000 01 --  1    22    02
00000001e0000000 01 --  1    23    03
00000001f0000000 01 --  1    24    04
00000001f8000000 01 --  1    25    05
00000001fc000000 01 --  1    26    06
00000001fe000000 01 --  1    27    07
00000001ff000000 01 --  1    28    08
00000001ff800000 01 --  1    29    09
00000001ffc00000 01 --  1    2a    0a
00000001ffe00000 01 --  1    2b    0b
00000001fff00000 01 --  1    2c    0c
00000001fff80000 01 --  1    2d    0d
00000001fffc0000 01 --  1    2e    0e
00000001fffe0000 01 --  1    2f    0f
00000001ffff0000 01 --  1    30    10
00000001ffff8000 01 --  1    31    11
00000001ffffc000 01 --  1    32    12
00000001ffffe000 01 --  1    33    13
00000001fffff000 01 --  1    34    14
00000001fffff800 01 --  1    35    15
00000001fffffc00 01 --  1    36    16
00000001fffffe00 01 --  1    37    17
00000001ffffff00 01 --  1    38    18
00000001ffffff80 01 --  1    39    19
00000001ffffffc0 01 --  1    3a    1a
00000001ffffffe0 01 --  1    3b    1b
00000001fffffff0 01 --  1    3c    1c
00000001fffffff8 01 --  1    3d    1d
00000001fffffffc 01 --  1    3e    1e
00000001fffffffe 01 --  1    3f    1f
00000001ffffffff 01 --  1    00    20
0000000200000000 01 --  1    1f    00
0000000200000002 02 --  0    1f    00
0000000200000002 02 --  0    3f    00
0000000300000000 01 --  1    20    01
0000000300000003 02 --  0    00    01
0000000300000003 02 --  0    20    01
0000000380000000 01 --  1    21    02
00000003c0000000 01 --  1    22    03
00000003e0000000 01 --  1    23    04
00000003f0000000 01 --  1    24    05
00000003f8000000 01 --  1    25    06
00000003fc000000 01 --  1    26    07
00000003fe000000 01 --  1    27    08
00000003ff000000 01 --  1    28    09
00000003ff800000 01 --  1    29    0a
00000003ffc00000 01 --  1    2a    0b
00000003ffe00000 01 --  1    2b    0c
00000003fff00000 01 --  1    2c    0d
00000003fff80000 01 --  1    2d    0e
00000003fffc0000 01 --  1    2e    0f
00000003fffe0000 01 --  1    2f    10
00000003ffff0000 01 --  1    30    11
00000003ffff8000 01 --  1    31    12
00000003ffffc000 01 --  1    32    13
00000003ffffe000 01 --  1    33    14
00000003fffff000 01 --  1    34    15
00000003fffff800 01 --  1    35    16
00000003fffffc00 01 --  1    36    17
00000003fffffe00 01 --  1    37    18
00000003ffffff00 01 --  1    38    19
00000003ffffff80 01 --  1    39    1a
00000003ffffffc0 01 --  1    3a    1b
00000003ffffffe0 01 --  1    3b    1c
00000003fffffff0 01 --  1    3c    1d
00000003fffffff8 01 --  1    3d    1e
00000003fffffffc 01 --  1    3e    1f
00000003fffffffe 01 --  1    3f    20
00000003ffffffff 01 --  1    00    21
0000000400000000 01 --  1    1e    00
0000000400000004 02 --  0    1e    00
0000000400000004 02 --  0    3e    00
0000000600000000 01 --  1    1f    01
0000000600000006 02 --  0    1f    01
0000000600000006 02 --  0    3f    01
0000000700000000 01 --  1    20    02
0000000700000007 02 --  0    00    02
0000000700000007 02 --  0    20    02
0000000780000000 01 --  1    21    03
00000007c0000000 01 --  1    22    04
00000007e0000000 01 --  1    23    05
00000007f0000000 01 --  1    24    06
00000007f8000000 01 --  1    25    07
00000007fc000000 01 --  1    26    08
00000007fe000000 01 --  1    27    09
00000007ff000000 01 --  1    28    0a
00000007ff800000 01 --  1    29    0b
00000007ffc00000 01 --  1    2a    0c
00000007ffe00000 01 --  1    2b    0d
00000007fff00000 01 --  1    2c    0e
00000007fff80000 01 --  1    2d    0f
00000007fffc0000 01 --  1    2e    10
00000007fffe0000 01 --  1    2f    11
00000007ffff0000 01 --  1    30    12
00000007ffff8000 01 --  1    31    13
00000007ffffc000 01 --  1    32    14
00000007ffffe000 01 --  1    33    15
00000007fffff000 01 --  1    34    16
00000007fffff800 01 --  1    35    17
00000007fffffc00 01 --  1    36    18
00000007fffffe00 01 --  1    37    19
00000007ffffff00 01 --  1    38    1a
00000007ffffff80 01 --  1    39    1b
00000007ffffffc0 01 --  1    3a    1c
00000007ffffffe0 01 --  1    3b    1d
00000007fffffff0 01 --  1    3c    1e
00000007fffffff8 01 --  1    3d    1f
00000007fffffffc 01 --  1    3e    20
00000007fffffffe 01 --  1    3f    21
00000007ffffffff 01 --  1    00    22
0000000800000000 01 --  1    1d    00
0000000800000008 02 --  0    1d    00
0000000800000008 02 --  0    3d    00
0000000c00000000 01 --  1    1e    01
0000000c0000000c 02 --  0    1e    01
0000000c0000000c 02 --  0    3e    01
0000000e00000000 01 --  1    1f    02
0000000e0000000e 02 --  0    1f    02
0000000e0000000e 02 --  0    3f    02
0000000f00000000 01 --  1    20    03
0000000f0000000f 02 --  0    00    03
0000000f0000000f 02 --  0    20    03
0000000f80000000 01 --  1    21    04
0000000fc0000000 01 --  1    22    05
0000000fe0000000 01 --  1    23    06
0000000ff0000000 01 --  1    24    07
0000000ff8000000 01 --  1    25    08
0000000ffc000000 01 --  1    26    09
0000000ffe000000 01 --  1    27    0a
0000000fff000000 01 --  1    28    0b
0000000fff800000 01 --  1    29    0c
0000000fffc00000 01 --  1    2a    0d
0000000fffe00000 01 --  1    2b    0e
0000000ffff00000 01 --  1    2c    0f
0000000ffff80000 01 --  1    2d    10
0000000ffffc0000 01 --  1    2e    11
0000000ffffe0000 01 --  1    2f    12
0000000fffff0000 01 --  1    30    13
0000000fffff8000 01 --  1    31    14
0000000fffffc000 01 --  1    32    15
0000000fffffe000 01 --  1    33    16
0000000ffffff000 01 --  1    34    17
0000000ffffff800 01 --  1    35    18
0000000ffffffc00 01 --  1    36    19
0000000ffffffe00 01 --  1    37    1a
0000000fffffff00 01 --  1    38    1b
0000000fffffff80 01 --  1    39    1c
0000000fffffffc0 01 --  1    3a    1d
0000000fffffffe0 01 --  1    3b    1e
0000000ffffffff0 01 --  1    3c    1f
0000000ffffffff8 01 --  1    3d    20
0000000ffffffffc 01 --  1    3e    21
0000000ffffffffe 01 --  1    3f    22
0000000fffffffff 01 --  1    00    23
0000001000000000 01 --  1    1c    00
0000001000000010 02 --  0    1c    00
0000001000000010 02 --  0    3c    00
0000001800000000 01 --  1    1d    01
0000001800000018 02 --  0    1d    01
0000001800000018 02 --  0    3d    01
0000001c00000000 01 --  1    1e    02
0000001c0000001c 02 --  0    1e    02
0000001c0000001c 02 --  0    3e    02
0000001e00000000 01 --  1    1f    03
0000001e0000001e 02 --  0    1f    03
0000001e0000001e 02 --  0    3f    03
0000001f00000000 01 --  1    20    04
0000001f0000001f 02 --  0    00    04
0000001f0000001f 02 --  0    20    04
0000001f80000000 01 --  1    21    05
0000001fc0000000 01 --  1    22    06
0000001fe0000000 01 --  1    23    07
0000001ff0000000 01 --  1    24    08
0000001ff8000000 01 --  1    25    09
0000001ffc000000 01 --  1    26    0a
0000001ffe000000 01 --  1    27    0b
0000001fff000000 01 --  1    28    0c
0000001fff800000 01 --  1    29    0d
0000001fffc00000 01 --  1    2a    0e
0000001fffe00000 01 --  1    2b    0f
0000001ffff00000 01 --  1    2c    10
0000001ffff80000 01 --  1    2d    11
0000001ffffc0000 01 --  1    2e    12
0000001ffffe0000 01 --  1    2f    13
0000001fffff0000 01 --  1    30    14
0000001fffff8000 01 --  1    31    15
0000001fffffc000 01 --  1    32    16
0000001fffffe000 01 --  1    33    17
0000001ffffff000 01 --  1    34    18
0000001ffffff800 01 --  1    35    19
0000001ffffffc00 01 --  1    36    1a
0000001ffffffe00 01 --  1    37    1b
0000001fffffff00 01 --  1    38    1c
0000001fffffff80 01 --  1    39    1d
0000001fffffffc0 01 --  1    3a    1e
0000001fffffffe0 01 --  1    3b    1f
0000001ffffffff0 01 --  1    3c    20
0000001ffffffff8 01 --  1    3d    21
0000001ffffffffc 01 --  1    3e    22
0000001ffffffffe 01 --  1    3f    23
0000001fffffffff 01 --  1    00    24
0000002000000000 01 --  1    1b    00
